iter	Passed	Remaining
959	26216	1092
960	26246	1065
961	26270	1037
962	26293	1010
963	26323	983
964	26349	955
965	26377	928
966	26405	901
967	26436	873
968	26469	846
969	26500	819
970	26540	792
971	26573	765
972	26604	738
973	26635	711
974	26664	683
975	26697	656
976	26726	629
977	26763	602
978	26795	574
979	26823	547
980	26859	520
981	26891	492
982	26926	465
983	26955	438
984	26984	410
985	27015	383
986	27044	356
987	27084	328
988	27116	301
989	27149	274
990	27181	246
991	27209	219
992	27241	192
993	27270	164
994	27299	137
995	27325	109
996	27355	82
997	27387	54
998	27416	27
999	27448	0
